"diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_2_heat","diffusion_output_2_rank","diffusion_output_3_heat","diffusion_output_3_rank","diffusion_output_4_heat","diffusion_output_4_rank","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","1.1469928150674054E-5","18445","1.747892904639148E-5","17743","9.595462404279023E-6","18757","1.7287045849030182E-5","17389","1.662120961515541E-5","17662","TMEM132E","false","TMEM132E"
"0.0","1.2528795102607581E-6","19568","1.3387368553028695E-6","19573","1.259982968233567E-6","19572","1.136301882955581E-6","19555","1.081746965861534E-6","19578","PGA3","false","PGA3"
"0.0","5.465947404065873E-7","19695","5.943333137137194E-7","19694","5.629045889560165E-7","19692","4.5783125471875946E-7","19702","4.80686536082138E-7","19700","SMIM15","false","SMIM15"
"0.0","9.959930356546066E-6","18689","1.0097962055813659E-5","18869","1.2493786182906142E-6","19575","9.938217631329428E-6","18369","9.808348098019685E-6","18480","DEFB105B","false","DEFB105B"
"0.0","9.959930356546066E-6","18688","1.0097962055813659E-5","18868","1.2493786182906142E-6","19574","9.938217631329428E-6","18368","9.808348098019685E-6","18479","DEFB105A","false","DEFB105A"
"0.0","9.842559097425098E-7","19613","9.657462963682803E-7","19628","9.181429973912683E-7","19635","9.493155170826295E-7","19594","9.037088680760998E-7","19614","PHEX","false","PHEX"
"0.0","1.0578850263429613E-6","19600","9.036769217800539E-7","19644","7.571726767574196E-7","19659","1.0882963691301257E-6","19564","1.0341491198041584E-6","19585","PPAPDC1B","false","PPAPDC1B"
"0.0","3.8049020977347973E-6","19331","3.791135672781146E-6","19352","3.7815924525241563E-6","19350","6.315091300744035E-7","19669","3.635128587745698E-6","19318","OR7C1","false","OR7C1"
"0.0","1.4262150790198203E-6","19548","1.4346332845546946E-6","19564","1.4434739690459693E-6","19558","1.1262101783334567E-6","19557","1.2492356172243695E-6","19552","UCMA","false","UCMA"
"0.0","1.9563995882738557E-6","19484","2.072671870953605E-6","19487","1.9444311514636735E-6","19497","1.584680816610065E-6","19465","1.7878900719132999E-6","19472","FAM69C","false","FAM69C"
"0.0","2.516773501537452E-7","19749","0.004734969888816295","685","0.00473497120699873","657","0.004734902173542528","577","0.00473493798552878","554","CYSLTR1","false","CYSLTR1"
"0.0","6.866803743494863E-7","19672","5.068590306645147E-7","19711","5.367308620512644E-7","19698","5.145629073785866E-7","19694","5.802961340670121E-7","19682","NWD1","false","NWD1"
"0.0","7.516972857097091E-7","19661","6.921017747509568E-7","19680","7.330532734387364E-7","19668","5.641886812197235E-7","19679","5.990036393649876E-7","19677","LOC100507577","false","LOC100507577"
"0.0","9.887190564078591E-7","19612","1.000109164786533E-6","19623","9.76860260062013E-7","19621","8.79575673866753E-7","19603","9.007306163996955E-7","19616","SLC25A53","false","SLC25A53"
"0.0","1.3052573931284264E-5","18230","6.194300390258427E-6","19227","1.3134460151432706E-5","18219","1.0296772680687031E-5","18331","1.2554852590608187E-5","18147","OR1E1","false","OR1E1"
"0.0","1.048748143937919E-6","19601","1.009896502926425E-6","19622","9.679489161032636E-7","19622","8.093024617054186E-7","19619","9.728348119837136E-7","19594","MIR100","false","MIR100"
"0.0","1.7995154649774263E-6","19497","1.9350425254539107E-6","19504","1.571412029027673E-6","19542","1.489231220029721E-6","19485","1.748498501486677E-6","19481","GPR148","false","GPR148"
"0.0","5.347439602129851E-7","19697","4.859887705426035E-7","19714","5.204101083543044E-7","19706","4.1803313576901135E-7","19707","4.1346071227964236E-7","19711","TBATA","false","TBATA"
"0.0","3.2217285900369588E-6","19372","3.160580770770625E-6","19390","3.0028390626300865E-6","19400","2.5134201865268152E-6","19308","2.5987288961309297E-6","19384","GOLGA8M","false","GOLGA8M"
"0.0","9.230630355319798E-6","18757","9.264055178718992E-6","19027","9.222292732943255E-6","18795","6.9329783500412174E-6","18996","5.272647633129322E-6","19174","OR7G1","false","OR7G1"
"0.0","9.230630355319798E-6","18756","9.264055178718992E-6","19026","9.222292732943255E-6","18794","6.9329783500412174E-6","18995","5.272647633129322E-6","19173","OR4A16","false","OR4A16"
"0.0","9.230630355319798E-6","18755","9.264055178718992E-6","19025","9.222292732943255E-6","18793","6.9329783500412174E-6","18994","5.272647633129322E-6","19172","LOC399491","false","LOC399491"
"0.0","9.230630355319798E-6","18754","9.264055178718992E-6","19024","9.222292732943255E-6","18792","6.9329783500412174E-6","18993","5.272647633129322E-6","19171","DEFB130","false","DEFB130"
"0.0","9.230630355319798E-6","18753","9.264055178718992E-6","19023","9.222292732943255E-6","18791","6.9329783500412174E-6","18992","5.272647633129322E-6","19170","DEGS2","false","DEGS2"
"0.0","1.2651853840586518E-6","19565","1.4414808149880802E-6","19562","1.2543320724012584E-6","19573","9.829995999319767E-7","19586","1.2180582261395198E-6","19558","GPR146","false","GPR146"
"0.0","6.789872369469247E-7","19674","6.368383843760988E-7","19689","6.331827158792366E-7","19683","6.488910784767633E-7","19665","6.514657955320972E-7","19669","DEFB129","false","DEFB129"
"0.0","1.0197961059229783E-5","18672","6.925005131983464E-7","19679","1.0008668532988987E-5","18641","1.0132650264650103E-5","18350","1.0166196754173457E-5","18444","NOX3","false","NOX3"
"0.0","2.412291584623869E-6","19435","2.5897719151369085E-6","19433","2.518271147092406E-6","19436","1.723132551170837E-6","19440","2.350501199321961E-6","19412","TAS2R50","false","TAS2R50"
"0.0","2.594697386026971E-7","19748","1.760374035128533E-7","19772","1.5925262535502655E-7","19776","2.3549002223906682E-7","19746","2.4371026901479637E-7","19748","FCRL6","false","FCRL6"
"0.0","1.1025496503011438E-5","18562","1.1066018395648728E-5","18594","1.1068647117995042E-5","18521","1.0977910873951235E-5","18201","5.537246936181153E-7","19685","HRCT1","false","HRCT1"
"0.0","1.2005709468718952E-5","18343","2.4790477228277663E-5","17033","2.475353066250693E-5","16956","2.1811813896345676E-5","16931","1.7381132711299783E-5","17602","COPD","false","COPD"
"0.0","8.186225513680627E-7","19650","7.757737173416091E-7","19666","8.16828177299233E-7","19648","5.889512498607738E-7","19675","6.302371714569938E-7","19672","CLUL1","false","CLUL1"
"0.0","2.941502280491311E-7","19739","3.968323437644437E-7","19727","3.295075283389065E-7","19735","3.752024016104438E-7","19718","3.868564905638261E-7","19718","OR6C4","false","OR6C4"
"0.0","1.185919972953384E-6","19585","1.2352054617536633E-6","19588","1.235432609020413E-6","19582","9.675407720045923E-7","19591","1.0807073208054482E-6","19579","PSORS1C1","false","PSORS1C1"
"0.0","6.81351094175457E-8","19795","6.914353488241364E-8","19796","6.884226709932366E-8","19795","5.3276116302633765E-8","19796","3.230557897296548E-8","19802","C2orf66","false","C2orf66"
"0.0","1.4230172204507618E-7","19780","1.2919989555830748E-7","19783","1.2671535158968569E-7","19783","1.418867002729656E-7","19774","1.0427457819101157E-7","19784","C1QL2","false","C1QL2"
"0.0","1.3575422104884135E-5","18131","2.5320729245448202E-5","16996","2.5424676641702584E-5","16906","1.9601449638015705E-5","17126","1.9610700560377132E-5","17208","ADAMTS19","false","ADAMTS19"
"0.0","9.105903509939596E-6","18763","1.544603123040788E-5","18030","1.544643783476294E-5","17919","1.2525109851967256E-5","17904","1.0435427203192147E-5","18405","ZIK1","false","ZIK1"
"0.0","8.544186105752536E-6","18805","1.4894768728397678E-5","18074","1.4868514370287748E-5","18051","1.2200098671794263E-5","18026","9.972508762970213E-6","18460","OR2T11","false","OR2T11"
"0.0","8.544186105752536E-6","18804","1.4894768728397678E-5","18073","1.4868514370287748E-5","18050","1.2200098671794263E-5","18025","9.972508762970213E-6","18459","ZNF878","false","ZNF878"
"0.0","1.2983511184980256E-7","19782","1.2131789994118067E-7","19785","1.0258134968116512E-7","19786","1.0568967464302702E-7","19785","8.996111386914386E-8","19785","RBMY1B","false","RBMY1B"
"0.0","8.661851176444944E-9","19811","4.272306932598107E-8","19803","4.213424473450523E-8","19801","4.088611715281911E-8","19799","4.1721715160032284E-8","19796","CYP2A7","false","CYP2A7"
"0.0","6.38509825712532E-7","19680","5.687806959667879E-7","19700","6.354742205080369E-7","19682","5.714620097911616E-7","19678","4.3797468583604396E-7","19706","DPY19L2","false","DPY19L2"
"0.0","9.286173348331754E-6","18750","8.789031827974911E-7","19650","9.259045543363527E-6","18790","9.114504934195182E-6","18685","9.136808289252702E-6","18843","OR2T2","false","OR2T2"
"0.0","1.7553241635286158E-7","19768","1.677713143054569E-7","19775","1.9491615622757163E-7","19759","1.558724747528132E-7","19764","1.709219778865696E-7","19764","GGT2","false","GGT2"
"0.0","3.398903485865719E-7","19731","3.189475235540386E-7","19740","3.3780112092966224E-7","19733","2.4825541597142113E-7","19742","2.344953590516573E-7","19751","C6orf163","false","C6orf163"
"0.0","7.597736552058593E-7","19660","8.529524935907844E-7","19658","7.220971639905444E-7","19671","7.563568929339621E-7","19638","7.309898564928064E-7","19653","CTAGE8","false","CTAGE8"
"0.0","1.541725496344875E-7","19776","1.5677896244155923E-7","19777","1.5941355571247586E-7","19775","1.2534409651942598E-7","19778","1.2691160548480597E-7","19779","UBALD1","false","UBALD1"
"0.0","2.089805123812834E-6","19466","2.1789178240444018E-6","19474","2.1241639374850114E-6","19476","1.6325851648936213E-6","19457","1.8793313122883129E-6","19459","ZNF619","false","ZNF619"
"0.0","1.9234029353550803E-6","19489","2.0794232822949025E-6","19486","1.9447930369695102E-6","19494","1.877879668412877E-6","19422","1.8577574594243158E-6","19462","C16orf91","false","C16orf91"
"0.0","1.0263545650257735E-5","18657","1.8584376706483732E-5","17658","1.855556915480422E-5","17532","9.329286355134127E-6","18669","1.857322744499892E-5","17323","KCNK17","false","KCNK17"
"0.0","1.0263545650257735E-5","18656","1.8584376706483732E-5","17657","1.855556915480422E-5","17531","9.329286355134127E-6","18668","1.857322744499892E-5","17322","SNORA12","false","SNORA12"
"0.0","2.512234933078894E-6","19422","2.5497045473377044E-6","19440","2.5051472875549676E-6","19438","1.9902211920628984E-6","19406","2.071911063570599E-6","19442","IZUMO4","false","IZUMO4"
"0.0","2.512234933078894E-6","19421","2.5497045473377044E-6","19439","2.5051472875549676E-6","19437","1.9902211920628984E-6","19405","2.071911063570599E-6","19441","KIAA1210","false","KIAA1210"
"0.0","8.056976190319492E-7","19655","8.658933661955133E-7","19652","8.251567550515243E-7","19647","7.497390384677864E-7","19641","6.917414737394046E-7","19661","HIATL2","false","HIATL2"
"0.0","8.056976190319492E-7","19654","8.658933661955133E-7","19651","8.251567550515243E-7","19646","7.497390384677864E-7","19640","6.917414737394046E-7","19660","GAL3ST3","false","GAL3ST3"
"0.0","8.83549122763566E-7","19640","9.576611504070492E-7","19632","9.02606677813447E-7","19637","8.489479882134468E-7","19613","7.859175901167153E-7","19646","FMO4","false","FMO4"
"0.0","9.088243796121429E-6","18765","9.136954866464417E-6","19033","9.12711235819244E-6","18803","8.172739431206442E-6","18846","3.817436227691717E-6","19305","TMEM200B","false","TMEM200B"
"0.0","1.1386332075577149E-5","18514","1.1240050916433424E-5","18580","1.5542617647284762E-6","19546","1.1279699247895038E-5","18157","1.1233019766987593E-5","18308","IL11RA","false","IL11RA"
"0.0","1.262683921923027E-5","18272","1.2807336944342136E-5","18353","9.82544481148114E-7","19618","1.2612348414085538E-5","17891","1.2676741701949453E-5","18137","LINC00242","false","LINC00242"
